Name,genotype,treatment,weight,PI 18:0_20:4,PE 16:0_22:6,PE 18:0_20:4,PE 18:0_22:6,PE 18:0_18:2,PE 18:0_20:4.1,PE 18:1_22:6,PE 18:0_22:6.1,PE 16:0_18:2,PC 16:0_18:2,PE 16:0_20:4,PE 18:2_22:6,PE 18:1_20:4,PE 16:1_18:2,PC 16:0_22:6,PC 18:0_20:4,PS 18:0_22:6,PE 18:2_18:2,EtherPE 16:1e_20:4,PE 18:0_20:5,PC 18:2_18:2,PE 18:2_20:4,PC 18:0_18:1,PC 16:0_20:4,PE 16:0_20:5,PS 18:0_20:4,PG 15:0_18:1(d7),PC 18:0_22:6,PG 16:0_18:1,PE 16:1_22:6,PG 16:0_18:2,PE 15:0_22:6,EtherPE 16:1e_22:6,PI 16:0_20:4,FA 18:0,PC 16:0_20:3,PG 18:1_18:2,PE 18:0_20:3,PS 15:0_18:1(d7),FA 16:0,EtherPE 16:1e_22:5,PI 18:0_18:2,PE 18:0_22:5,PE 38:6,EtherPE 18:1e_22:6,PE 16:0_18:1,EtherPE 18:1e_20:4,PC 18:0_20:4.1,PE 17:0_20:4,PG 18:2_22:6,PE 18:2_18:2.1,PG 22:6_22:6,PI 38:5,PI 18:1_18:2,PI 18:1_20:4,Cer_NS d18:1_22:0,PI 18:0_20:3,FA 18:1,PG 18:1_18:1,Cer_NS d18:1_24:0,PE 17:0_22:6,PE 18:0_18:2.1,PE 36:3,PC 16:0_20:5,PC 18:0_20:3,PG 18:0_18:2,PC 18:1_20:4,PE 16:0_18:3,Cer_NS d18:1_24:1,FA 18:2,LPE 18:0,PI 16:0_18:2,PE 18:0_18:1,PC 16:0_18:3,PG 18:1_22:6,PE 17:0_18:2,Cer_NS d18:1_23:0,CL 72:8,PE 18:0_22:6.2,PG 18:2_18:2,PG 36:2,PE 18:1_20:3,PC 17:0_18:2,Cer_NS d18:1_18:0,HexCer_NDS d22:0_18:1,PE 16:1_22:6.1,PE 18:0_18:1.1,Cer_NS d42:3,PC 20:0_18:2,PI 18:0_22:6,PE 18:2_18:3,PE 18:2_22:6.1,LPE 16:0,PE 18:0_18:1.2,PE 19:0_20:4,Cer_NS d18:1_16:0,PI 36:3,PE 17:0_18:2.1,PC 34:3,Cer_AS d42:1,PC 18:2_22:6,PE 20:0_20:4,EtherPE 18:1e_22:5,PE 17:0_22:6.1,PE 20:0_18:2,Cer_NS d18:1_24:1.1,PC 18:2_20:4,PC 18:0_22:5,PS 18:0_18:2,PE 20:1_22:6,HexCer_NDS d42:2,EtherPE 16:1e_18:2,PC 17:0_20:4,PE 19:0_22:6,PE 18:2_22:5,PG 18:1_22:5,PE 17:1_22:6,PE 18:0_22:4,Cer_NS d18:1_20:0,EtherPE 18:1e_18:2,PE 20:0_22:6,HexCer_NS d42:1,CL 72:7,Cer_ADS d27:0_15:0,EtherPE 18:0e_22:6,PE 20:0_18:2.1,PI 17:0_20:4,PG 18:1_20:3,PC 18:1_20:4.1,PE 16:1_22:6.2,PE 18:0_20:4.2,PE 18:0_20:1,PE 19:0_18:2,Cer_NS d18:2_22:0,CL 74:11,PE 38:2,PE 20:1_18:2,PC 15:0_22:6,PI 18:0_22:5,HexCer_NDS d41:1,PC 17:0_22:6,PE 18:0_22:5.1,PG 18:2_22:6.1,Cer_BDS d42:0,PE 19:0_20:4.1,PE 14:0_18:2,SM d18:1_18:1(d9),PE 20:0_22:6.1,PE 18:3_22:6,EtherPE 14:1e_22:6,PE 16:0_16:1,PG 18:0_18:1,Cer_NS d18:1_16:0.1,Cer_NS d18:1_16:0.2,PE 18:2_22:5.1,EtherPE 18:2e_22:5,PE 18:1_22:5,EtherPE 18:0e_18:2,PE 17:0_20:4.1,EtherPE 16:1e_22:4,Cer_NS d17:1_22:0,PE 15:0_18:1(d7),PE 20:0_20:4.1,PG 20:5_22:6,PE 18:1_20:1,PG 18:1_22:6.1,PG 18:1_18:2.1,Cer_NP t18:0_22:0,HexCer_NDS d38:1,CL 74:10,PI 16:0_20:4.1,Cer_NS d18:2_23:0,EtherPE 18:1e_20:5,Cer_NS d17:1_24:1,Cer_NS d18:2_24:0,PMeOH 16:0_18:2,PI 16:0_22:6,PE 20:2_22:6,PG 22:5_22:6,Cer_NP t18:0_24:1,LPE 18:1,LPE 18:2,LPE 18:1(d7),Cer_NS d18:1_22:1,PE 20:0_18:1,PG 18:1_22:5.1,EtherPC 16:0e_20:4,LPE 20:4,PG 16:0_18:2.1,Cer_BDS d41:0,PE 18:0_18:3,LPC 22:6/0:0,EtherPE 18:1e_22:4,FAHFA 16:0_18:2,Cer_NDS d18:0_22:0,PE 16:1_20:5,EtherPE 18:0e_20:4,EtherPE 16:1e_18:1,EtherPE 40:7e,EtherPE 16:1e_20:3,Cer_NP t18:0_24:0,HexCer_NDS d39:1,PG 18:1_20:4,PE 16:0_18:3.1,PG 18:3_22:6,PE 18:0_22:4.1,PG 20:4_22:6,PC 18:3_22:6,CL 74:8,CL 72:6,HexCer_NS d42:3,PG 18:2_20:4,Cer_NS d18:1_24:0.1,EtherPE 18:1e_18:1,EtherPC 18:0e_18:2,Cer_BDS d38:0,PG 18:2_20:4.1,FA 20:1,PE 18:2_20:3,CL 74:9,PE 36:2,Cer_NS d18:2_20:0,CL 70:7,PC 40:4,LPI 18:0,Cer_NDS d18:0_24:1,EtherPE 18:0e_20:1,Cer_NP t18:0_24:2,PC 18:0_22:4,LPI 20:4,EtherPC 42:6e,Cer_NS d18:1_25:0,PG 16:1_18:2,PE 19:0_18:2.1,LPE 18:1.1,Cer_NS d18:1_25:0.1,CL 72:10,FAHFA 18:2_20:4,EtherPE 16:1e_18:1.1,CL 70:6,PI 15:0_18:1(d7)
1,Control,RT,8.6,2054345,2923063,2365852,1827432,1189756,129742,1970718,56776,1264910,2584,1370098,220739,936156,321125,3672,9364,356065,400557,251979,474836,1392,80711,3460,1457,253783,92408,6570,2687,259181,148676,531835,281716,157356,136607,126294,2026,36837,263813,2594,118270,107315,133019,146517,366416,89758,339577,88625,7072,143500,63060,26153,224860,125777,41877,70852,113330,204818,32445,4302,114405,98620,123871,157855,2483,3200,57101,11671,56597,75024,20973,16871,90345,77760,1886,45378,140292,60887,74267,64669,10518,62485,100472,1523,4885,13865,29398,77760,26441,1533,57869,34763,3534,19907,56346,73252,28036,92126,13752,1483,9280,2304,71912,29684,15051,59797,75029,1421,8387,19789,73534,8146,48920,4986,52475,89369,11589,37958,21311,14612,48206,54702,6752,19837,8716,15076,64671,22941,4386,11674,153776,44038,20734,52664,24369,33303,17970,20135,12326,17756,5470,7727,15883,1083,8661,27479,6843,1767,5850,17538,18983,26206,14753,1571,32135,89666,30205,40894,10222,12693,11829,16844,13178,24049,16334,13712,3003,13195,12753,2519,10336,3394,12237,22939,10983,15294,22736,20796,19975,12046,9280,6918,4959,5550,12679,12949,3603,2960,8668,1289,4679,33307,3449,10099,13470,8094,11808,8283,9062,7923,15796,8659,3190,3414,27278,5426,7996,6010,3583,9153,5853,1552,4080,14226,5347,4114,3643,4084,1799,8671,2902,5236,2091,9477,3178,1814,3191,1239,1391,1888,1285,9285,5183,1755,11020,3039,5262,3557,1120,9088,4508,46832
2,Control,RT,13,2161665,4169632,3454306,2355367,1765930,211230,2504009,106158,1765785,2955,1954555,466692,1361701,983593,5472,9534,321343,759735,432816,637597,3507,259422,3515,3220,544640,142509,15518,3158,462170,363327,1042896,600626,208074,243694,132879,2720,94037,380381,2765,186694,172707,150272,248542,515945,209586,462662,152665,8466,226233,174352,54791,469488,173227,95518,146723,182243,233142,182922,6727,174610,128424,149905,255638,4663,2474,107258,15885,88133,140336,163471,36292,129215,146658,2210,113596,232304,97215,102279,87279,23763,112161,158492,2753,9006,19738,56667,146647,51129,2738,46915,77268,NA,35852,75360,121093,37910,118558,24881,2630,16396,4378,163247,45267,11196,17875,140319,1608,12519,19327,143507,9741,100352,5185,123195,127371,23976,72013,34166,29164,56321,90053,6825,32370,10800,24719,95815,28614,17267,15885,413312,62016,36190,86256,41221,41890,42061,29706,18513,20986,7333,7681,28628,2488,10776,47236,19814,1077,23369,40220,46819,37798,23367,1506,42324,127545,50598,69407,22331,20558,32200,31791,15842,34523,31937,33920,6936,28388,19466,6136,16562,3563,22347,37843,22286,25250,52221,21399,29085,24387,16418,13035,8835,6658,20834,11899,7015,4124,18817,2644,5988,53274,5415,17584,18566,18115,25202,17641,15933,10164,30465,10560,5464,7304,44702,9439,8606,11517,5216,13123,7882,3115,2056,27525,9921,4070,6179,4663,8221,16044,5595,9286,9132,11514,2963,2234,9877,1992,1644,2519,2662,15362,8467,1920,21182,7414,6636,5602,10283,15936,4929,97870
3,Control,RT,11.7,2186980,3276357,3662041,2250772,1645154,186953,1946024,66125,1483777,2230,1529736,266445,843054,356649,4083,9459,306782,445802,315504,831668,2427,87136,3410,2692,292764,95480,8320,2988,354939,155681,796710,336544,201118,167602,85103,3157,45340,316383,2902,87420,123502,102862,143377,338083,127513,298190,111755,8510,228163,76935,29074,374060,155804,92664,60667,127854,173109,25776,3217,126628,114864,125482,175427,2353,2329,76641,13162,69725,67897,20061,28972,86360,76355,1898,51835,179363,65606,87142,79099,10791,92181,85738,3025,5365,14557,29600,76352,27958,2205,44873,36839,NA,23417,57273,131329,26148,104167,17716,1415,9072,2738,126048,31892,11284,18576,67890,2177,9778,15326,71826,7094,62627,4472,63922,86529,20826,35940,24789,18066,33017,75249,8064,22199,10663,18815,92107,23064,4666,13162,23622,40997,27748,61570,32287,39250,19007,20132,12528,16230,7107,7474,21974,1334,10430,34749,7999,1538,26591,20085,31804,26955,19772,1373,28389,88562,33143,28964,15671,10482,15825,19773,12613,28837,14971,13323,4331,18473,14322,3400,11894,2408,15514,23445,9581,19264,28328,19266,17096,14286,9150,7210,4882,6476,9555,8303,6107,4179,12369,1546,5179,44521,3619,11726,9822,12648,12562,11236,9278,10449,19440,10646,2635,3946,31411,6933,4563,7454,4208,11326,6095,1584,3741,13978,6140,4066,4011,5133,1365,9708,3383,7584,3301,8316,2117,2383,5595,1820,1644,2644,2018,10495,3873,2245,10860,3897,4711,4011,705,8494,3356,54722
4,HNF4a KO,RT,13.4,3666963,3568357,2373742,2967013,1282856,62592,1768566,56616,734308,2515,1060201,220954,662729,306848,2915,9549,475178,343178,363118,312382,2414,66739,2085,1993,108516,235615,8028,3564,350003,204792,245350,342723,327965,140041,173370,2326,53826,114352,4354,144283,184802,129288,234221,129482,272014,228844,117385,8101,101856,73738,12677,132878,159589,37928,84942,142930,56505,49875,4995,116396,174219,113788,79961,3354,2662,68176,11295,29912,141127,25651,24835,71772,99902,3207,65993,83309,68032,42260,93652,15000,53702,38816,2415,143527,26095,14493,99971,71140,2028,68374,13388,NA,17171,65740,4912,64456,38108,11514,1154,11023,3233,3812,34120,27040,9806,140915,3377,8154,23596,20054,14634,83730,3852,8803,80891,42552,42153,34345,57397,43425,6066,12446,41264,8247,50496,22676,15749,11172,11715,33290,34818,28054,3640,30344,21763,41312,33746,11936,37584,10421,9490,48286,2170,8316,1768,11691,2557,32103,15446,30025,17405,25552,2277,69221,81222,57028,66589,10746,7544,8945,9504,21162,24922,17108,17118,5056,13970,11952,7129,19466,2422,14049,28213,9121,17408,9258,25358,26145,17604,11210,3502,1825,8966,10504,16167,8061,6481,3185,1971,2685,20219,2143,7160,15351,6374,6489,16415,12578,23296,19587,8256,3214,3917,6827,5791,5439,6395,4358,15932,19025,4855,5052,8204,6544,2337,4665,5000,1696,9754,10469,4747,10149,4555,3412,3059,3931,1458,4533,1182,2142,5806,2383,1968,4202,2217,4421,2162,1918,12569,3877,73606
5,HNF4a KO,RT,11.7,5303798,3448668,2420756,2891288,1520946,68846,1637018,53620,952137,2217,1130685,246844,673494,361274,2936,11396,659240,412137,445252,280431,2001,76468,1492,1846,102476,383656,7451,2816,368981,215984,281673,329566,321313,201789,162188,2142,68266,98950,3608,134414,188026,186251,265671,128432,235994,268384,116531,9192,96887,75572,11049,94995,190877,48584,121187,116383,83342,35876,4932,66666,152971,108735,112195,2700,1446,72668,12300,36726,127727,16140,25371,107528,116894,2849,60346,91332,45765,70892,89770,17979,52296,35309,2598,201456,10480,9707,116912,72145,1450,92416,16563,NA,20680,65919,4799,79499,55568,11329,1666,7410,2489,3463,34117,26853,54634,127612,2906,8606,38621,14077,7937,75794,3186,6823,106611,39333,40086,37277,60806,31507,4232,5559,70078,5786,31085,15589,26794,10306,12284,409093,35999,15243,4459,23273,31980,29910,29842,10292,58062,3585,7810,42091,1016,5786,3393,13399,1908,26271,17087,26569,19562,24310,2468,84070,100672,58981,74046,6699,9146,11480,6235,23643,23874,14145,12523,7157,14418,7004,3556,32840,2729,8914,26810,6855,12372,21027,33745,20542,15133,7412,3239,1483,6383,8193,14294,9440,9931,3238,1386,1256,22538,2158,7874,14383,4525,4811,15103,11804,22256,19785,5786,1097,4340,9375,5049,5538,8046,2982,24818,29816,3742,5148,3882,5754,2072,3236,5122,1069,6731,15978,5881,11672,5948,3776,2308,3604,1051,3790,1475,1810,4484,1287,3108,3961,2223,2620,3501,780,12198,5376,96234
6,HNF4a KO,RT,13.2,5327936,3722693,2788581,3043937,1578172,78965,1784146,57888,958060,2664,1221262,246962,796587,454016,2785,11657,653531,426305,502023,375251,2801,79075,2476,2554,131154,417099,9639,3372,493117,251796,418962,473100,399860,230220,112820,2613,63880,112475,4570,90499,232692,187206,213138,159126,384454,298211,158692,9296,125244,93954,14108,180679,259983,53330,122631,174976,76708,38391,4213,134622,182646,118115,87190,4671,2427,88913,12225,35604,159263,20670,29853,116217,120966,4016,73187,106565,78275,77464,98863,17626,74124,38927,3158,162630,28265,10247,119735,87996,2493,109511,15220,NA,24836,70576,6251,79348,53431,13178,1970,11542,2324,5136,43322,26982,55986,159278,3162,9116,39293,20692,16088,111235,2681,9548,90885,52336,44193,36937,67827,56742,6125,12626,83256,9141,46534,18804,32514,10544,12225,481940,42649,30196,7847,42041,36644,36934,35069,11508,59499,9137,10274,46426,1954,9324,4010,17812,1830,32289,16956,39630,18575,28229,2436,87185,91510,67858,58436,11571,10180,13018,12130,24599,25629,13778,19263,8405,19460,13322,6805,33412,1837,21682,39195,9257,28023,20823,38287,21740,22552,11542,4186,1906,9073,12869,16164,10059,10585,3465,1430,2803,24653,2057,7952,9460,6746,5674,16911,16458,21335,22449,9326,3881,3735,10018,5414,5544,10149,4360,27977,34116,6376,6409,8040,7939,2532,5873,6416,1481,8378,16846,5748,12893,6278,3129,1618,5067,1827,4794,1793,2403,6950,2769,2141,5165,2383,5932,3392,1664,16456,4643,102128
7,Control,cold,11.3,2548354,3634573,3726570,3032389,2501031,169108,2100143,103509,1982444,2248,1804294,244199,1007689,1245083,4535,9991,313009,877961,469401,506330,3419,156131,3195,3657,306367,130677,13902,3267,403599,280925,604050,296487,189147,155708,150440,3683,177302,291385,2204,173031,190797,148596,280652,259260,170636,467399,170084,7759,186575,301568,31950,188600,89127,39300,69802,194726,129944,75335,5191,163320,117648,143180,217808,3325,2937,145762,13996,155682,91671,68287,71047,58714,193689,2287,122835,232387,87773,120108,83711,99374,106937,47406,3999,17201,22611,27813,193812,39776,3358,31514,104925,NA,41598,68396,75946,38011,42268,22211,2614,12311,3227,116817,58463,13875,76324,91697,3186,10517,16965,71984,8745,77841,3196,81562,91989,34452,43483,42375,40449,48095,70165,8565,35756,11669,27803,80830,26041,17768,14483,302091,55891,31972,62776,46608,48540,25237,26035,13031,19408,7112,6952,29853,2956,11714,23541,29167,1718,30080,27426,36650,50106,28561,1570,41082,92038,54737,45272,25624,14792,28778,29403,14798,35717,27393,18152,15842,17505,21431,8377,25643,1919,20428,38573,14746,30247,28324,6549,14052,23264,12311,13909,15088,6686,14558,15524,11650,4616,20896,4209,5164,74388,4254,19287,18362,25139,13955,18267,13691,8265,27915,11669,4483,9171,45393,22119,8936,19020,4155,13497,8721,3258,14237,19544,7952,3704,6156,14164,3572,18021,7479,10760,10108,9719,3655,2550,10263,6829,2389,2152,2123,9700,5847,8278,19222,7412,3914,5301,5772,13691,4592,71702
