Name,Condition,variable,value,FA
1,Control_RT,18:0_22:0,3.5599318731758487,18:0
2,Control_RT,18:0_22:0,8.647543799334231,18:0
3,Control_RT,18:0_22:0,4.6977851130347075,18:0
4,KO_RT,18:0_22:0,1.2433403281193525,18:0
5,KO_RT,18:0_22:0,1.3547770748596328,18:0
6,KO_RT,18:0_22:0,1.866529264890898,18:0
7,Control_cold,18:0_22:0,8.654856720178199,18:0
8,Control_cold,18:0_22:0,1.999134422815496,18:0
9,Control_cold,18:0_22:0,4.408205917705638,18:0
10,Control_cold,18:0_22:0,3.8793650432571503,18:0
11,Control_cold,18:0_22:0,4.96647231599472,18:0
12,Control_cold,18:0_22:0,7.3197204430183875,18:0
13,KO_cold,18:0_22:0,0.4234046632138934,18:0
14,KO_cold,18:0_22:0,0.716061897801201,18:0
15,KO_cold,18:0_22:0,0.7179073241708674,18:0
16,KO_cold,18:0_22:0,1.7345860560316742,18:0
17,KO_cold,18:0_22:0,1.018933221058967,18:0
18,KO_cold,18:0_22:0,1.2568958277683309,18:0
1,Control_RT,18:0_24:1,1.403476971497916,18:0
2,Control_RT,18:0_24:1,4.714975992604152,18:0
3,Control_RT,18:0_24:1,2.0781236327821944,18:0
4,KO_RT,18:0_24:1,0.7667980592778748,18:0
5,KO_RT,18:0_24:1,1.079031287910302,18:0
6,KO_RT,18:0_24:1,1.401972099792793,18:0
7,Control_cold,18:0_24:1,3.5333463749229823,18:0
8,Control_cold,18:0_24:1,1.3605192300079167,18:0
9,Control_cold,18:0_24:1,1.5812170542449109,18:0
10,Control_cold,18:0_24:1,2.8858015157456323,18:0
11,Control_cold,18:0_24:1,4.2435070535898785,18:0
12,Control_cold,18:0_24:1,5.277657479019915,18:0
13,KO_cold,18:0_24:1,0.44939917124797146,18:0
14,KO_cold,18:0_24:1,0.5462073597315603,18:0
15,KO_cold,18:0_24:1,0.6138395809257596,18:0
16,KO_cold,18:0_24:1,1.580076709864147,18:0
17,KO_cold,18:0_24:1,0.7282759881286848,18:0
18,KO_cold,18:0_24:1,1.3510692166548537,18:0
1,Control_RT,18:0_22:0,5.609069826860835,18:0
2,Control_RT,18:0_22:0,9.292469643822256,18:0
3,Control_RT,18:0_22:0,5.31955078975989,18:0
4,KO_RT,18:0_22:0,2.3314094135052557,18:0
5,KO_RT,18:0_22:0,2.0969853331087003,18:0
6,KO_RT,18:0_22:0,3.686021770957092,18:0
7,Control_cold,18:0_22:0,7.378266214652092,18:0
8,Control_cold,18:0_22:0,3.148601338391279,18:0
9,Control_cold,18:0_22:0,9.222514196433202,18:0
10,Control_cold,18:0_22:0,4.616304187391064,18:0
11,Control_cold,18:0_22:0,3.412184953802705,18:0
12,Control_cold,18:0_22:0,4.823504754923532,18:0
13,KO_cold,18:0_22:0,1.1202103873979716,18:0
14,KO_cold,18:0_22:0,2.760782897964414,18:0
15,KO_cold,18:0_22:0,2.907492642047939,18:0
16,KO_cold,18:0_22:0,3.750981611362613,18:0
17,KO_cold,18:0_22:0,3.106058988233438,18:0
18,KO_cold,18:0_22:0,1.6969969638794509,18:0
1,Control_RT,18:0_24:0,3.808432183077548,18:0
2,Control_RT,18:0_24:0,5.0410191841550915,18:0
3,Control_RT,18:0_24:0,3.954191991885476,18:0
4,KO_RT,18:0_24:0,1.6104514824213014,18:0
5,KO_RT,18:0_24:0,1.7323182663288033,18:0
6,KO_RT,18:0_24:0,2.580381251759934,18:0
7,Control_cold,18:0_24:0,4.0174041556052105,18:0
8,Control_cold,18:0_24:0,2.1291216241372037,18:0
9,Control_cold,18:0_24:0,4.855153256078902,18:0
10,Control_cold,18:0_24:0,3.0553627347498953,18:0
11,Control_cold,18:0_24:0,2.9126177165205274,18:0
12,Control_cold,18:0_24:0,3.4168657739955357,18:0
13,KO_cold,18:0_24:0,1.0549182995711994,18:0
14,KO_cold,18:0_24:0,2.4643996621195456,18:0
15,KO_cold,18:0_24:0,2.279563889728995,18:0
16,KO_cold,18:0_24:0,3.622385782372029,18:0
17,KO_cold,18:0_24:0,2.585162037083101,18:0
18,KO_cold,18:0_24:0,1.529660982033279,18:0
1,Control_RT,18:0_24:1,4.0815626121907425,18:0
2,Control_RT,18:0_24:1,7.837448197486581,18:0
3,Control_RT,18:0_24:1,3.398539989268468,18:0
4,KO_RT,18:0_24:1,2.186671647037644,18:0
5,KO_RT,18:0_24:1,2.2191398185325077,18:0
6,KO_RT,18:0_24:1,3.19351923738078,18:0
7,Control_cold,18:0_24:1,4.238431961578177,18:0
8,Control_cold,18:0_24:1,2.1572215012502944,18:0
9,Control_cold,18:0_24:1,4.369473611596611,18:0
10,Control_cold,18:0_24:1,4.0665345426964725,18:0
11,Control_cold,18:0_24:1,3.39635359769165,18:0
12,Control_cold,18:0_24:1,4.2283632738472985,18:0
13,KO_cold,18:0_24:1,1.1960531873091638,18:0
14,KO_cold,18:0_24:1,2.3374398614558167,18:0
15,KO_cold,18:0_24:1,2.416613102371783,18:0
16,KO_cold,18:0_24:1,3.8821687920708903,18:0
17,KO_cold,18:0_24:1,2.6580984962828342,18:0
18,KO_cold,18:0_24:1,2.029980560041956,18:0
1,Control_RT,18:0_24:2,0.6117945682712633,18:0
2,Control_RT,18:0_24:2,0.7847950320786905,18:0
3,Control_RT,18:0_24:2,0.6106229226620067,18:0
4,KO_RT,18:0_24:2,0.884226813204428,18:0
5,KO_RT,18:0_24:2,1.134719362147626,18:0
6,KO_RT,18:0_24:2,1.3264365988566504,18:0
7,Control_cold,18:0_24:2,0.822485091073858,18:0
8,Control_cold,18:0_24:2,0.49771149246352026,18:0
9,Control_cold,18:0_24:2,0.8826270967875391,18:0
10,Control_cold,18:0_24:2,0.7659601989250271,18:0
11,Control_cold,18:0_24:2,0.883741478910444,18:0
12,Control_cold,18:0_24:2,0.8134466531740654,18:0
13,KO_cold,18:0_24:2,0.39588106647192856,18:0
14,KO_cold,18:0_24:2,0.8320285748081384,18:0
15,KO_cold,18:0_24:2,0.9599849053810262,18:0
16,KO_cold,18:0_24:2,1.0028531147477242,18:0
17,KO_cold,18:0_24:2,0.6240421677051847,18:0
18,KO_cold,18:0_24:2,0.6419548541228698,18:0
1,Control_RT,17:1_22:0,7.408387999972077,17:1
2,Control_RT,17:1_22:0,15.176045538207816,17:1
3,Control_RT,17:1_22:0,7.344189203038844,17:1
4,KO_RT,17:1_22:0,1.853891822787312,17:1
5,KO_RT,17:1_22:0,1.8667480799447091,17:1
6,KO_RT,17:1_22:0,3.356211085550932,17:1
7,Control_cold,17:1_22:0,10.122866945518895,17:1
8,Control_cold,17:1_22:0,3.839170980249681,17:1
9,Control_cold,17:1_22:0,7.694348664495202,17:1
10,Control_cold,17:1_22:0,7.0736375458836145,17:1
11,Control_cold,17:1_22:0,4.096803153627436,17:1
12,Control_cold,17:1_22:0,7.04001694126804,17:1
13,KO_cold,17:1_22:0,1.4319915749361185,17:1
14,KO_cold,17:1_22:0,2.5786419275724763,17:1
15,KO_cold,17:1_22:0,3.982432377659715,17:1
16,KO_cold,17:1_22:0,4.363836292597332,17:1
17,KO_cold,17:1_22:0,4.045251975913591,17:1
18,KO_cold,17:1_22:0,1.6020731894241111,17:1
1,Control_RT,17:1_24:1,4.830582130354626,17:1
2,Control_RT,17:1_24:1,10.638650903227308,17:1
3,Control_RT,17:1_24:1,3.558624222642753,17:1
4,KO_RT,17:1_24:1,1.7791821670499863,17:1
5,KO_RT,17:1_24:1,2.052374994069123,17:1
6,KO_RT,17:1_24:1,2.5612898614134365,17:1
7,Control_cold,17:1_24:1,5.076753935946048,17:1
8,Control_cold,17:1_24:1,2.6092454237313794,17:1
9,Control_cold,17:1_24:1,3.2551569019023416,17:1
10,Control_cold,17:1_24:1,5.106401326166847,17:1
11,Control_cold,17:1_24:1,4.2807986924292525,17:1
12,Control_cold,17:1_24:1,5.774691576206943,17:1
13,KO_cold,17:1_24:1,1.7592165584239234,17:1
14,KO_cold,17:1_24:1,2.9433549712448523,17:1
15,KO_cold,17:1_24:1,3.766291680150645,17:1
16,KO_cold,17:1_24:1,5.306440479908662,17:1
17,KO_cold,17:1_24:1,3.4203933553069175,17:1
18,KO_cold,17:1_24:1,2.170302661410719,17:1
1,Control_RT,18:1_16:0,12.330893253812464,18:1
2,Control_RT,18:1_16:0,18.097067923420408,18:1
3,Control_RT,18:1_16:0,9.712024441463596,18:1
4,KO_RT,18:1_16:0,12.57306937390351,18:1
5,KO_RT,18:1_16:0,23.801861364478665,18:1
6,KO_RT,18:1_16:0,21.954545524838863,18:1
7,Control_cold,18:1_16:0,13.086429801929016,18:1
8,Control_cold,18:1_16:0,9.750455200853173,18:1
9,Control_cold,18:1_16:0,11.718752639847748,18:1
10,Control_cold,18:1_16:0,18.394783627824022,18:1
11,Control_cold,18:1_16:0,18.40166472766309,18:1
12,Control_cold,18:1_16:0,20.88322869514442,18:1
13,KO_cold,18:1_16:0,13.858895503933274,18:1
14,KO_cold,18:1_16:0,18.532035419463657,18:1
15,KO_cold,18:1_16:0,32.53541903970979,18:1
16,KO_cold,18:1_16:0,38.706372769271496,18:1
17,KO_cold,18:1_16:0,24.94726270694774,18:1
18,KO_cold,18:1_16:0,12.824464563865469,18:1
1,Control_RT,18:1_16:0,0.6909628085939286,18:1
2,Control_RT,18:1_16:0,0.7189180768312091,18:1
3,Control_RT,18:1_16:0,0.5099667109579897,18:1
4,KO_RT,18:1_16:0,0.4441615825427935,18:1
5,KO_RT,18:1_16:0,0.7389148775146019,18:1
6,KO_RT,18:1_16:0,0.6740090852763456,18:1
7,Control_cold,18:1_16:0,0.5405197124261016,18:1
8,Control_cold,18:1_16:0,0.29737351966443476,18:1
9,Control_cold,18:1_16:0,0.4408440658954783,18:1
10,Control_cold,18:1_16:0,0.5843340470300761,18:1
11,Control_cold,18:1_16:0,0.7841798393675873,18:1
12,Control_cold,18:1_16:0,0.7530229001827011,18:1
13,KO_cold,18:1_16:0,0.3091817367347391,18:1
14,KO_cold,18:1_16:0,0.6210037108865923,18:1
15,KO_cold,18:1_16:0,0.7950775583926246,18:1
16,KO_cold,18:1_16:0,1.113309481714447,18:1
17,KO_cold,18:1_16:0,0.5494728027024718,18:1
18,KO_cold,18:1_16:0,0.2778302568544624,18:1
1,Control_RT,18:1_16:0.2,14.13373001538249,18:1
2,Control_RT,18:1_16:0.2,20.204175752857964,18:1
3,Control_RT,18:1_16:0.2,10.54438816998279,18:1
4,KO_RT,18:1_16:0.2,13.50255112217598,18:1
5,KO_RT,18:1_16:0.2,25.170410758773333,18:1
6,KO_RT,18:1_16:0.2,24.122940106657712,18:1
7,Control_cold,18:1_16:0.2,14.143713901840195,18:1
8,Control_cold,18:1_16:0.2,10.66744111873072,18:1
9,Control_cold,18:1_16:0.2,12.339643243837918,18:1
10,Control_cold,18:1_16:0.2,18.92335812014308,18:1
11,Control_cold,18:1_16:0.2,19.232283211623106,18:1
12,Control_cold,18:1_16:0.2,22.797297257645056,18:1
13,KO_cold,18:1_16:0.2,14.672217787658337,18:1
14,KO_cold,18:1_16:0.2,19.329144660303157,18:1
15,KO_cold,18:1_16:0.2,34.03687641840613,18:1
16,KO_cold,18:1_16:0.2,39.53495748100428,18:1
17,KO_cold,18:1_16:0.2,26.53036488293599,18:1
18,KO_cold,18:1_16:0.2,13.644823586974558,18:1
1,Control_RT,18:1_18:0,2.1485380776456657,18:1
2,Control_RT,18:1_18:0,4.299187383759541,18:1
3,Control_RT,18:1_18:0,1.9926958516311837,18:1
4,KO_RT,18:1_18:0,27.99700459271828,18:1
5,KO_RT,18:1_18:0,60.31557356749661,18:1
6,KO_RT,18:1_18:0,44.997576986244695,18:1
7,Control_cold,18:1_18:0,5.921961511746099,18:1
8,Control_cold,18:1_18:0,3.5630239864620408,18:1
9,Control_cold,18:1_18:0,5.1931806548485975,18:1
10,Control_cold,18:1_18:0,5.160856563808601,18:1
11,Control_cold,18:1_18:0,4.740963443390581,18:1
12,Control_cold,18:1_18:0,5.782163330609102,18:1
13,KO_cold,18:1_18:0,12.723088411714857,18:1
14,KO_cold,18:1_18:0,15.19616126823807,18:1
15,KO_cold,18:1_18:0,25.490192926236357,18:1
16,KO_cold,18:1_18:0,21.053760949372684,18:1
17,KO_cold,18:1_18:0,12.73421590453262,18:1
18,KO_cold,18:1_18:0,10.809491715199847,18:1
1,Control_RT,18:1_20:0,6.426701819971028,18:1
2,Control_RT,18:1_20:0,13.92199654230105,18:1
3,Control_RT,18:1_20:0,6.710166496844168,18:1
4,KO_RT,18:1_20:0,11.196109948708266,18:1
5,KO_RT,18:1_20:0,18.205209903627587,18:1
6,KO_RT,18:1_20:0,18.766836710607016,18:1
7,Control_cold,18:1_20:0,13.925784616511711,18:1
8,Control_cold,18:1_20:0,6.128603414104014,18:1
9,Control_cold,18:1_20:0,10.64786306124542,18:1
10,Control_cold,18:1_20:0,9.037286893659909,18:1
11,Control_cold,18:1_20:0,8.294223370538464,18:1
12,Control_cold,18:1_20:0,10.15086564366215,18:1
13,KO_cold,18:1_20:0,6.189292362913963,18:1
14,KO_cold,18:1_20:0,8.120900662149381,18:1
15,KO_cold,18:1_20:0,13.151921287096362,18:1
16,KO_cold,18:1_20:0,16.32357230768631,18:1
17,KO_cold,18:1_20:0,12.025534786039684,18:1
18,KO_cold,18:1_20:0,6.256527276403223,18:1
1,Control_RT,18:1_22:0,49.84520375426475,18:1
2,Control_RT,18:1_22:0,86.997202573672,18:1
3,Control_RT,18:1_22:0,47.48818926644052,18:1
4,KO_RT,18:1_22:0,27.88055116066819,18:1
5,KO_RT,18:1_22:0,34.84486636538975,18:1
6,KO_RT,18:1_22:0,48.413552424184665,18:1
7,Control_cold,18:1_22:0,67.04028122413061,18:1
8,Control_cold,18:1_22:0,31.13163148046496,18:1
9,Control_cold,18:1_22:0,54.06583924446883,18:1
10,Control_cold,18:1_22:0,47.30464538878357,18:1
11,Control_cold,18:1_22:0,38.52015207359169,18:1
12,Control_cold,18:1_22:0,47.69675637339289,18:1
13,KO_cold,18:1_22:0,14.18000413258953,18:1
14,KO_cold,18:1_22:0,26.601203734992836,18:1
15,KO_cold,18:1_22:0,38.8400030297188,18:1
16,KO_cold,18:1_22:0,40.2796471808767,18:1
17,KO_cold,18:1_22:0,38.62774752430675,18:1
18,KO_cold,18:1_22:0,15.477827935202074,18:1
1,Control_RT,18:1_22:1,5.576522883617073,18:1
2,Control_RT,18:1_22:1,9.945510765405984,18:1
3,Control_RT,18:1_22:1,3.5489671691213345,18:1
4,KO_RT,18:1_22:1,2.0489561980805897,18:1
5,KO_RT,18:1_22:1,2.4529698506795516,18:1
6,KO_RT,18:1_22:1,3.560682643030087,18:1
7,Control_cold,18:1_22:1,5.012029282483558,18:1
8,Control_cold,18:1_22:1,2.96382948456851,18:1
9,Control_cold,18:1_22:1,3.577221895730135,18:1
10,Control_cold,18:1_22:1,5.142596124838911,18:1
11,Control_cold,18:1_22:1,4.42890982404601,18:1
12,Control_cold,18:1_22:1,5.144140476442224,18:1
13,KO_cold,18:1_22:1,2.0000480299161167,18:1
14,KO_cold,18:1_22:1,3.070530323352832,18:1
15,KO_cold,18:1_22:1,3.6881608206066248,18:1
16,KO_cold,18:1_22:1,7.784420559953912,18:1
17,KO_cold,18:1_22:1,3.58123457690036,18:1
18,KO_cold,18:1_22:1,2.168426697488677,18:1
1,Control_RT,18:1_23:0,26.779536936256225,18:1
2,Control_RT,18:1_23:0,46.40745075640504,18:1
3,Control_RT,18:1_23:0,24.36771743562263,18:1
4,KO_RT,18:1_23:0,13.270619579952273,18:1
5,KO_RT,18:1_23:0,13.701960846619023,18:1
6,KO_RT,18:1_23:0,21.65766057061,18:1
7,Control_cold,18:1_23:0,30.218494725335173,18:1
8,Control_cold,18:1_23:0,14.483161841821277,18:1
9,Control_cold,18:1_23:0,23.5713077917085,18:1
10,Control_cold,18:1_23:0,23.953130818490692,18:1
11,Control_cold,18:1_23:0,21.739618211700623,18:1
12,Control_cold,18:1_23:0,32.449829368571976,18:1
13,KO_cold,18:1_23:0,11.266172690840175,18:1
14,KO_cold,18:1_23:0,17.577789175765304,18:1
15,KO_cold,18:1_23:0,19.594515115070426,18:1
16,KO_cold,18:1_23:0,29.73511312261356,18:1
17,KO_cold,18:1_23:0,17.561629760073206,18:1
18,KO_cold,18:1_23:0,16.21752050966335,18:1
1,Control_RT,18:1_24:0,50.318014078414,18:1
2,Control_RT,18:1_24:0,83.35344315770081,18:1
3,Control_RT,18:1_24:0,47.03282205039208,18:1
4,KO_RT,18:1_24:0,22.70471302663636,18:1
5,KO_RT,18:1_24:0,19.959683640351884,18:1
6,KO_RT,18:1_24:0,37.24813262646642,18:1
7,Control_cold,18:1_24:0,56.227821295178934,18:1
8,Control_cold,18:1_24:0,32.50508878338825,18:1
9,Control_cold,18:1_24:0,49.115146299987664,18:1
10,Control_cold,18:1_24:0,40.23296431850385,18:1
11,Control_cold,18:1_24:0,31.238431878333586,18:1
12,Control_cold,18:1_24:0,48.81037263820148,18:1
13,KO_cold,18:1_24:0,13.2972612215264,18:1
14,KO_cold,18:1_24:0,22.173561518636888,18:1
15,KO_cold,18:1_24:0,27.705394919373763,18:1
16,KO_cold,18:1_24:0,36.28313499426255,18:1
17,KO_cold,18:1_24:0,23.532894130600667,18:1
18,KO_cold,18:1_24:0,18.488937626472147,18:1
1,Control_RT,18:1_24:0,6.256929926834646,18:1
2,Control_RT,18:1_24:0,13.139588356426978,18:1
3,Control_RT,18:1_24:0,5.191780543168814,18:1
4,KO_RT,18:1_24:0,1.6003081349060508,18:1
5,KO_RT,18:1_24:0,1.1622640010177003,18:1
6,KO_RT,18:1_24:0,2.22456200559188,18:1
7,Control_cold,18:1_24:0,6.728609719525944,18:1
8,Control_cold,18:1_24:0,3.3869449003792926,18:1
9,Control_cold,18:1_24:0,5.429095610239949,18:1
10,Control_cold,18:1_24:0,4.525001992542615,18:1
11,Control_cold,18:1_24:0,2.759229466200084,18:1
12,Control_cold,18:1_24:0,6.444550601304757,18:1
13,KO_cold,18:1_24:0,1.3720512975869503,18:1
14,KO_cold,18:1_24:0,2.8235083682414,18:1
15,KO_cold,18:1_24:0,3.2904619371899355,18:1
16,KO_cold,18:1_24:0,5.827302175165233,18:1
17,KO_cold,18:1_24:0,2.332333788588502,18:1
18,KO_cold,18:1_24:0,1.665293173596936,18:1
1,Control_RT,18:1_24:1,32.997322566486886,18:1
2,Control_RT,18:1_24:1,66.99208979427925,18:1
3,Control_RT,18:1_24:1,25.218652420913788,18:1
4,KO_RT,18:1_24:1,27.528850092014412,18:1
5,KO_RT,18:1_24:1,38.24124009736934,18:1
6,KO_RT,18:1_24:1,44.065972474698945,18:1
7,Control_cold,18:1_24:1,31.560498444466983,18:1
8,Control_cold,18:1_24:1,26.019879734554085,18:1
9,Control_cold,18:1_24:1,23.146895613253218,18:1
10,Control_cold,18:1_24:1,39.83449545384383,18:1
11,Control_cold,18:1_24:1,39.37785976689729,18:1
12,Control_cold,18:1_24:1,46.93171369438933,18:1
13,KO_cold,18:1_24:1,22.088909656393145,18:1
14,KO_cold,18:1_24:1,30.060373312329887,18:1
15,KO_cold,18:1_24:1,40.13620679789171,18:1
16,KO_cold,18:1_24:1,51.44999267896302,18:1
17,KO_cold,18:1_24:1,28.979179285470337,18:1
18,KO_cold,18:1_24:1,26.64731712704183,18:1
1,Control_RT,18:1_24:1,32.999521684273624,18:1
2,Control_RT,18:1_24:1,66.98397451718357,18:1
3,Control_RT,18:1_24:1,25.216052444965715,18:1
4,KO_RT,18:1_24:1,27.487496444452237,18:1
5,KO_RT,18:1_24:1,38.20680929878176,18:1
6,KO_RT,18:1_24:1,44.07012277694818,18:1
7,Control_cold,18:1_24:1,31.569449726328816,18:1
8,Control_cold,18:1_24:1,26.146632417646952,18:1
9,Control_cold,18:1_24:1,23.146895613253218,18:1
10,Control_cold,18:1_24:1,39.836451929447726,18:1
11,Control_cold,18:1_24:1,39.37785976689729,18:1
12,Control_cold,18:1_24:1,46.93106397661523,18:1
13,KO_cold,18:1_24:1,22.09319110477523,18:1
14,KO_cold,18:1_24:1,30.058433349331633,18:1
15,KO_cold,18:1_24:1,40.13460575568795,18:1
16,KO_cold,18:1_24:1,51.44999267896302,18:1
17,KO_cold,18:1_24:1,28.979179285470337,18:1
18,KO_cold,18:1_24:1,26.646566741473023,18:1
1,Control_RT,18:1_25:0,2.2796054977354117,18:1
2,Control_RT,18:1_25:0,4.041885362901625,18:1
3,Control_RT,18:1_25:0,1.4385295495559318,18:1
4,KO_RT,18:1_25:0,0.4648384063238809,18:1
5,KO_RT,18:1_25:0,0.3853255459324524,18:1
6,KO_RT,18:1_25:0,0.7661457952094421,18:1
7,Control_cold,18:1_25:0,2.0130055786977175,18:1
8,Control_cold,18:1_25:0,1.37224435858748,18:1
9,Control_cold,18:1_25:0,2.0246432738809905,18:1
10,Control_cold,18:1_25:0,1.657460915766672,18:1
11,Control_cold,18:1_25:0,1.3808460607975686,18:1
12,Control_cold,18:1_25:0,2.1333483112596197,18:1
13,KO_cold,18:1_25:0,0.5526126590303398,18:1
14,KO_cold,18:1_25:0,0.933768856494522,18:1
15,KO_cold,18:1_25:0,1.1232912101656571,18:1
16,KO_cold,18:1_25:0,2.257067346111803,18:1
17,KO_cold,18:1_25:0,0.7244658745884002,18:1
18,KO_cold,18:1_25:0,0.6562121799303912,18:1
1,Control_RT,18:1_25:0,2.3143515587659147,18:1
2,Control_RT,18:1_25:0,3.1678222827701887,18:1
3,Control_RT,18:1_25:0,1.749783813053962,18:1
4,KO_RT,18:1_25:0,0.862379603171581,18:1
5,KO_RT,18:1_25:0,0.784423411299942,18:1
6,KO_RT,18:1_25:0,1.6413061961655508,18:1
7,Control_cold,18:1_25:0,1.3475122002775552,18:1
8,Control_cold,18:1_25:0,0.7237234537040629,18:1
9,Control_cold,18:1_25:0,1.5114989032486608,18:1
10,Control_cold,18:1_25:0,1.2814915205514503,18:1
11,Control_cold,18:1_25:0,0.9301801235028716,18:1
12,Control_cold,18:1_25:0,1.895876464825817,18:1
13,KO_cold,18:1_25:0,0.9619497061316734,18:1
14,KO_cold,18:1_25:0,1.198034927146019,18:1
15,KO_cold,18:1_25:0,1.117207249791328,18:1
16,KO_cold,18:1_25:0,3.1653361231636827,18:1
17,KO_cold,18:1_25:0,1.5365643606033463,18:1
18,KO_cold,18:1_25:0,1.312049167076374,18:1
1,Control_RT,18:2_20:0,0.9196710584149616,18:2
2,Control_RT,18:2_20:0,4.359335908115937,18:2
3,Control_RT,18:2_20:0,1.2260743720847225,18:2
4,KO_RT,18:2_20:0,1.979708344851476,18:2
5,KO_RT,18:2_20:0,3.494576357516383,18:2
6,KO_RT,18:2_20:0,3.5673231266288687,18:2
7,Control_cold,18:2_20:0,3.4799829638235895,18:2
8,Control_cold,18:2_20:0,1.4965711530087085,18:2
9,Control_cold,18:2_20:0,2.26384460676038,18:2
10,Control_cold,18:2_20:0,1.9600624758358187,18:2
11,Control_cold,18:2_20:0,1.1067876961195289,18:2
12,Control_cold,18:2_20:0,2.348729753373999,18:2
13,KO_cold,18:2_20:0,1.2463602057986445,18:2
14,KO_cold,18:2_20:0,1.809123271597074,18:2
15,KO_cold,18:2_20:0,2.2811649319327656,18:2
16,KO_cold,18:2_20:0,3.3363653365315113,18:2
17,KO_cold,18:2_20:0,2.018543723449348,18:2
18,KO_cold,18:2_20:0,0.9777523961684388,18:2
1,Control_RT,18:2_22:0,10.718060269016831,18:2
2,Control_RT,18:2_22:0,19.67763748011904,18:2
3,Control_RT,18:2_22:0,11.9922033479247,18:2
4,KO_RT,18:2_22:0,5.9190334038992205,18:2
5,KO_RT,18:2_22:0,6.967895439383034,18:2
6,KO_RT,18:2_22:0,11.632190457349278,18:2
7,Control_cold,18:2_22:0,16.046205577551433,18:2
8,Control_cold,18:2_22:0,6.035408857635418,18:2
9,Control_cold,18:2_22:0,11.04880111478614,18:2
10,Control_cold,18:2_22:0,9.69498877583606,18:2
11,Control_cold,18:2_22:0,6.158045719286788,18:2
12,Control_cold,18:2_22:0,10.419523943252786,18:2
13,KO_cold,18:2_22:0,2.6927252145889,18:2
14,KO_cold,18:2_22:0,5.692066988331221,18:2
15,KO_cold,18:2_22:0,8.366085931584415,18:2
16,KO_cold,18:2_22:0,8.230133055397344,18:2
17,KO_cold,18:2_22:0,7.859447780705638,18:2
18,KO_cold,18:2_22:0,3.816648599395028,18:2
1,Control_RT,18:2_23:0,5.382120871269194,18:2
2,Control_RT,18:2_23:0,10.667770426923656,18:2
3,Control_RT,18:2_23:0,5.762289551203389,18:2
4,KO_RT,18:2_23:0,2.740459408495259,18:2
5,KO_RT,18:2_23:0,2.6688359879113297,18:2
6,KO_RT,18:2_23:0,5.999123557866061,18:2
7,Control_cold,18:2_23:0,7.0329533028282825,18:2
8,Control_cold,18:2_23:0,3.603657621711906,18:2
9,Control_cold,18:2_23:0,5.246936400902945,18:2
